ref,nome,tags_seo,produtos_similares_ref,descritivo_do_produto,composi_o,altura,largura,profundidade,category,stock,price,peso,url
SDJ01,"Je m'Aime","Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ02,SDJ03,SDJ04,SDJ08,SDJ09,","Todo o amor e cuidado do mundo. De mim para mim!","* Cesto de fibras naturais
* After Sun Be Plus Natural Care
* Açúcar de banho Lavanda e Camomila Olea Saboaria
* Escova de cabelo de madeira
* Faixa de cabelo para tratamento de beauté
* Tag de coração em couro Abbia
* Coffe Scrub Be Plus Natural Care
* Espátulas de beleza
* Barra Citrus Cúrcuma Olea Saboaria

",24,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"559,62","1,5",https://abbiacasa.com.br/import-image/SDJ01.jpg
SDJ02,Riviera,"Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ01,SDJ03,SDJ04,SDJ06,SDJ08,","Como um banho de sol para aquecer o corpo e a alma!","* Chá Organe
* Escova de dentes de madeira
* Lixa de madeira ecológica
* Sabonete de arroz e aveia Videira
* Bowl de metal esmaltado
* Água Funcional Olea Saboaria 
",7,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"455,10","1,1",https://abbiacasa.com.br/import-image/SDJ02.jpg
SDJ03,Marseille,"Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Beleza","SDJ01,SDJ02,SDJ04,SDJ06,SDJ08,","Um toque inspirador e delicado de Provence.","* Cerâmica Folha
* Gargantilha Letras banhada a ouro
* Barra Citrus Cúrcuma Olea Saboaria
* Caixa Vendôme
* Xícara de porcelana
* Sabonete líquido facial Vitamina C Be Plus Natural Care
* Home Spray Flor de Cerejeira The Candle Store
",20,26,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"507,50","1,5",https://abbiacasa.com.br/import-image/SDJ03.jpg
SDJ04,"Love 2 Love","Kit, Itens para a Casa, Presente, Produto Nacional, Aroma para a Casa, Decoração","SDJ02,SDJ06,SDJ08,SDJ09,SDJ10","Perfeito para dar um boost poderoso de amor e autocuidado.","* Caixa de fósforos
* Vela aromática Cereja Negra e Peônea The Candle Store 
* Cesto de fibras naturais
* Pássaro em pedra
* Home Spray Flor de Cerejeira e Pamplemousse The Candle Store
* Tag de mala em couro Abbia
",15,32,32,"SacDuJour,Curiosidades e Kits,Novidade",1,"527,40","1,5",https://abbiacasa.com.br/import-image/SDJ04.jpg
SDJ05,"Confort Kitchen","Kit, Presente, Itens para a Cozinha, Objetos para Cozinha, Produtos para Decoração da Cozinha, Utilitário","SDJ01,SDJ02,SDJ03,SDJ07,SDJ10","Seleção de produtos especiais para levantar o astral da sua cozinha.","* Bowl de bambu 
* Pegador de madeira
* Fouet
* Pano de prato de algodão
* Potinho e pilão de pedra
* Bloco de notas para receitas
* Garrafa de água em vidro 
* Jogo de colheres de pau
* Bandeja para aperitivo em bambu

",22,50,43,"SacDuJour,Curiosidades e Kits,Novidade",1,"851,00",4,https://abbiacasa.com.br/import-image/SDJ05.jpg
SDJ06,"Sun Delight","Kit, Beleza, Produto de Beleza, Curadoria de Beleza, Presente, Produto Nacional e Aroma para a Casa","SDJ01,SDJ02,SDJ03,SDJ04,SDJ09,","Sucesso absoluto para recarregar as energias e sorrir à toa.","* Aromatizador de ambientes Wild Lemon Grass Therapy
* Bandeja Creta
* Vela perfumada Rainforest Therapy
* Caixa Vendôme
* Sabonete líquido para mãos Videira
",20,30,23,"SacDuJour,Curiosidades e Kits,Novidade",1,"907,10","4,100",https://abbiacasa.com.br/import-image/SDJ06.jpg
SDJ07,"Weekend Bliss","Kit, Presente, Itens para a Cozinha, Objeto para Cozinha, Produtos para Decoração da Cozinha, Utilitário","SDJ01,SDJ05,SDJ06,SDJ09,SDJ10","Equipar a cozinha e receber amigos vai fazer seu fim de semana perfeito.","* Bolsa Eco - Abbia
* Garrafa de água em vidro
* Abridor de garrafas
* Tábua de madeira 
* Set de cerâmica Trevo
* Espremedor de frutas Cottage
* Paninho biodegradável para limpeza
* Pratinhos para aperitivo em bambu 
* Pegador de madeira
* Escumadeira de madeira

",54,42,20,"SacDuJour,Curiosidades e Kits,Novidade",1,"1 467,90","3,326",https://abbiacasa.com.br/import-image/SDJ07.jpg
SDJ08,"Bela da Tarde","Kit, Beleza, Produtos de Beleza, Curadoria de Beleza, Presente, Produto Nacional ","SDJ01,SDJ02,SDJ03,SDJ06,SDJ08","Experiência de um spa só seu, onde você quiser! ","* Máscara de argila verde Be Plus Natural Care
* Bucha orgânica para banho
* Organe Chá Funcional
* Colher de pau
* Disco de bucha natural 
* Bowl de madeira
* Bucha esfoliadora orgânica
* Hidratante corporal Skin Savior Be Plus Natural Care
* Barra de carvão ativado vegetal Olea Saboaria
* Scrub de café Be Plus Natural Care
* Tônico para o rosto e corpo de alecrim orgânico Olea Saboaria

",24,30,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"728,00","2,200",https://abbiacasa.com.br/import-image/SDJ08.jpg
SDJ09,"Positive Vibes","Kit, Presente, Perfume Autoral, Perfume, Acessório, Brinco, Brinco de Design Nacional, Carteira, Carteira em couro","SDJ01,SDJ03,SDJ04,SDJ06,SDJ08,","Você merece, sim! Produtos incríveis e seu astral nas alturas.","* Hidratante para mãos Videira
* Caixa Vendôme
* Eau de parfum Figorativo L’Envie
* Carteira em couro Mini - Abbia
* Brinco Blossom
* Óleo facial, corporal e capilar Videira",25,25,25,"SacDuJour,Curiosidades e Kits,Novidade",1,"1 065,50","1,5",https://abbiacasa.com.br/import-image/SDJ09.jpg
SDJ10,"Equilíbrio Spa","Kit, Presente, Bem estar, Wellness, Produto Naturail, Utilitário","SDJ04,SDJ05,SDJ06,SDJ07,SDJ010","Este é o melhor aliado para colocar tudo em harmonia!","* Par de xícaras em porcelana
* Tag em couro Abbia
* Chaleira
* Pratinho de bambu
* Organe Chá Funcional
* Bandeja Gaiola
",23,50,30,"SacDuJour,Curiosidades e Kits,Novidade",1,"655,66","1,5",https://abbiacasa.com.br/import-image/SDJ10.jpg
BEA01,"Esfoliante Natural de Café","Produto de Beleza, Esfoliante, Esfoliante para Rosto, Esfoliante para Corpo, Esfoliante Natural, esfoliante de Café, Livre de Crueldade Animal","BEA08,BA09,BA19,BA20,BA21,","Boa pedida para retirar a camada de células mortas que impede a respiração e hidratação da pele. Assim, ela fica luxuosamente macia, limpa e com aspecto saudável. Esse esfoliante mágico também ajuda a polir cicatrizes, estrias e celulites, além de auxiliar a circulação e combater os radicais livres. Contém FPS contra os raios ultravioleta. ","Sucrose, isopropyl palmitate, coffea arabica seed powder, triticum vulgare germ oil, orbignya oleifera seed oil.",7,7,7,"Beauté,Rosto e Corpo",9,"67,50","0,300",https://abbiacasa.com.br/import-image/BEA01.jpg
BEA02,"Condicionador Sólido de Lavanda","Condicionador, Produto para Cabelo, Condicionador Sólido, Condicionador de Lavanda, Condicionador Natural, Produto Livre de Crueldade Animal","BEA03,BA05,BA19,BA26,BA27","Um must-have para quem sofre de queda de cabelos ou quer mantê-los longos e saudáveis, porque estimula o crescimento de células novas. Feito com óleos essenciais de lavanda e óleo de oliva, dá um look glamouroso, cheio de volume e fácil de modelar. 80 mg

Não testado em animais. Sem Sulfatos. Sem Parabenos. Sem Petrolatos. Sem Fragrâncias Artificiais. Sem Liberadores De Formol. Sem Bht, Bha, Edta. Sem Corantes Sintéticos
","FORA DE LINHA - CONFIRMAR",3,7,7,"Beauté,Cabelo",9,"42,21","0,300",https://abbiacasa.com.br/import-image/BEA02.jpg
BEA03,"Shampoo Sólido de Lavanda","Shampoo, Produto para Cabelo, Shampoo Sólido,  Shampoo de Lavanda, Shampoo Natural, Produto Livre de Crueldade Animal","BEA02,BA05,BA19,BA26,BA27","Além de limpar, é um herói no combate à oleosidade e à caspa. Funciona como um agente de detox poderoso, porque absorve impurezas e toxinas armazenadas nos fios há um tempão, mas você nem imaginava.
É amor para a vida toda. 


Não testado em animais. Sem Sulfatos. Sem Parabenos. Sem Petrolatos. Sem Fragrâncias Artificiais. Sem Liberadores De Formol. Sem Bht, Bha, Edta. Sem Corantes Sintéticos.
","FORA DE LINHA - CONFIRMAR",3,7,7,"Beauté,Cabelo",10,"42,21","0,300",https://abbiacasa.com.br/import-image/BEA03.jpg
BEA04,"After Sun - Hidratante Spray Pós Sol com Vitamina C","Spray Pós Sol, Hidratante pós sol, Hidratante com Vitamina C, Produto Natural, Produto Livre de Crueldade Animal","BA05,BA06,BA07,BA19,BA26","Spray com vitamina C para ser usado tanto depois do sol quanto no dia-a-dia. Ultra refrescante, combina ativos que nutrem, acalmam e combatem o envelhecimento precoce. Também alivia a pele exposta ao calor e solão em excesso, além de levar FPS na fórmula.
Dica Abbia: mantenha refrigerado para usá-lo geladinho!
","Aqua, aloe barbadensis leaf extract, hamamelis virginiana extract, sodium benzoate / potassium sorbate, cocos nucifera oil, citrus aurantium dulcis peel oil, lavandula angustifolia oil, peg-40.",13,7,3,"Beauté,Rosto e Corpo",10,"121,50","0,300",https://abbiacasa.com.br/import-image/BEA04.jpg
BEA05,"Sea Mist Spray","Hidratante, Hidratante para Pele, Hidratante para Cabelo, Spray Hidratante para a pele, Spray Hidratante para Cabelo, Produto natural, Produto Livre de Crueldade Animal","BA02,BEA03,BEA04,BEA06,BEA07,","Nada como um look saudável de praia, não é mesmo?
Formulado com ingredientes que nutrem, refrescam, acalmam e ainda dão um efeito maravilhoso de natural beachy hair - ondulado, volumoso...e sexy!
Super prático, é ótimo também para o corpo, porque ajuda a restaurar a pele e os cabelos. Energia pura!
","Aqua, sorbitol, sodium chloride, aloe barbadensis leaf extract, cocos nucifera oil, peg-40, sodium benzoate / potassium sorbate, cymbopogon flexuosos oil.",13,7,3,"Beauté,Rosto e Cabelo",10,"121,50","0,300",https://abbiacasa.com.br/import-image/BEA05.jpg
BEA06,"Hidratante Natural Vegan de Óleo de Coco Macadâmia","Hidratante para a pele, Hidratante para o Rosto, Hidratante Antialérgico, Hidratante de Coco, Hidratante Natural, Produto Livre de Crueladade Animal","BEA04,BEA05,BEA07,BEA08,BA09","Prepare-se para se apaixonar. Com efeitos que você nota em ou dois minutinhos, é uma maravilha para combater os agentes oxidantes e o envelhecimento, além de dar um boost de nutrientes para a pele e te ajudar a combater estrias e manchinhas. 
Pode ser usado com seus produtos favoritos porque não tem fragrâncias.

150 ml
","Citric acid, aqua, aminomethyl propanol, carbomer, dibutyl adipate, methylchloroisothiazolinone and methylisothiazolinone, cetearyl alcohol (and) glyceryl stearate / potassium hydroxide (and) stearic acid (and) sodium cocoyl glutamate, orbignya oleifera seed oil, triticum vulgare germ oil, sorbitol, soybean glycerides / shea butter unsaponifiables, macadamia ternifolia seed oil.",20,5,4,"Beauté,Rosto e Corpo",6,"82,80","0,300",https://abbiacasa.com.br/import-image/BEA06.jpg
BEA07,"Sabonete Facial Vitamina C","Sabonete, Sabonete Facial de Vitamina C, Produto de Beleza Anti-idade, Produto Facial Clareador, Produto Natural, Produto Livre de Crueladade Animal","BEA04,BEA05,BEA17,BEA18,BA23","Limpeza regeneradora e delicada para usar no rosto e no corpo, tem aquele aroma delicioso e cítrico de laranja.
Riquíssimo em vitamina C, previne e combate o envelhecimento, é um super aliado para fortalecer, proteger, clarear, dar viço...e aquele visual de pele bem tratada que todos nós simplesmente amamos.
120 ml
","PRODUTO FORA DE LINHA  - CONFIRMAR",13,5,5,"Beauté,Rosto e Corpo",10,"76,50","0,300",https://abbiacasa.com.br/import-image/BEA07.jpg
BEA08,"Argila Verde Natural","Argila, Argila Verde Natural, Argila para Corpo e Rosto, Argila Hidratante, Produto Natural, Produto Livre de Crueladade Animal","BEA01,BEA06,BEA09,BEA19,BEA27,","A Green Clay é uma máscara de argila verde que faz maravilhas para limpar profundamente e remover o excesso de oleosidade da pele, manter seu Ph natural e fechar os poros. Tudo de uma vez só! 
Com ação imediata, é indicada também para peles oleosas e acnéicas.



",Kaolin,19,12,2,"Beauté,Rosto, Corpo e Couro Cabeludo",8,"49,50","0,300",https://abbiacasa.com.br/import-image/BEA08.jpg
BEA09,"Argila Branca Natural","Argila, Argila Branca Natural, Argila para Corpo e Rosto, Argila Hidratante, Produto Natural, Produto Livre de Crueladade Animal","BEA01,BEA06,BEA08,BEA19,BEA27,","A White Clay é uma máscara de argila branca composta 100% de Caulim, mineral com propriedades divinas! Como é rico em cálcio, sílica, zinco e magnésio, tem ação detox e absorve elementos nocivos como a poluição, além de hidratar e manter o Ph natural da pele. Também é ótima para uniformizar diferenças de tonalidade, diminuir ruguinhas e flacidez.
Indicada para todos os tipos de pele, principalmente as sensíveis.

150 g

",Kaolin,9,12,2,"Beauté,Rosto, Corpo e Couro Cabeludo",10,"49,50","0,300",https://abbiacasa.com.br/import-image/BEA09.jpg
CAS01,"Sabonete Líquido para as mãos Figo Ambarado","Sabonete, Sabonete Liquido, Sabonete Liquido para  as mãos, Sabonete Liquido de Figo, Produto Livre de Crueladade Animal",",CAS02,CAS03,CA17M,BEA14,CAS70","Uma combinação sofisticada de notas de bergamota, jasmim, grapefruit, violeta,
figo, maçã vermelha, folhas de bambu e vetiver.


","Aqua, Disodium EDTA, Sodium, Laureth Sulfate, Cocamidepropyl Betaine, Polyquaternium-7, Methylchloroisothiazolinone, Methylisothiazolinone, PEG-150 Distearate, Cocamide Dea, Citric Acid, Sodium Chloride, Parfum, Benzyl Salicylate, Hexyl Cinnamal, d-Limonene.",15,8,8,"Beauté,Mãos",3,"150,80","0,540",https://abbiacasa.com.br/import-image/CAS01.jpg
CAS02,"Home Spray Figo Ambarado","Spray para o Ambiente, Home Spray, Aromatizador de Ambiente, Aroma para a Casa, Aroma para Ambientes","CAS01,CAS03,BEA14,CAS41M,CAS72","Um toque pessoal e intransferível em casa, escritório e onde mais você quiser colocar sua assinatura olfativa.


","Aqua, Alcohol, BHT, Benzophenone-3, Parfum, Alpha-Isomethyl lonone, Benzyl Salicylate, Citral, Citronelool, Coumarin, Geraniol, Hexyl Cinnamal, d- Limonene, Linalool.",20,8,5,"Casa,Sprays para o Ambiente",0,"138,00","0,300",https://abbiacasa.com.br/import-image/CAS02.jpg
CAS03,"Home Spray Lumière","Spray para o Ambiente, Home Spray, Aromatizador de Ambiente, Aroma para a Casa, Aroma para Ambientes","CAS01,CAS02,CAS06P,CAS17P,CAS73","Com um toque floral cítrico e amadeirado, e o nome já sugere tudo: é só aplicar para iluminar ambientes especiais.


","Aqua, Alcohol, Nonoxynol-9, BHT, Parfum, Buthylphenyl Methylpropional, Amyl Cinnamal, Benzyl Benzoate, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool.",20,7,5,"Casa,Sprays para o Ambiente",1,"145,22","0,300",https://abbiacasa.com.br/import-image/CAS03.jpg
BEA10,"Perfume Falling Water","Perfume, Perfume Autoral, Perfumaria, Perfumaria Brasileira","BEA11,BEA12,BEA13,BEA24,BEA25","Uma combinação do lifestyle cosmopolita com a água, elemento essencial para a vida. 
Assim é o espírito desta eau de parfum, que leva notas de kiwi, folhas verdes, vetiver e Flor de Lótus. 

","Aqua, Propylene Glycol, Alcohol (organic), Parfum, Citral, Geraniol, Hydroxycitronellal, Limonene, Linalool, Methyl 2-Octynoate.
Este perfume possui componentes que podem alterar levemente sua cor, o que não compromete a qualidade do produto",12,7,7,"Beauté,Corpo",4,"219,00","0,300",https://abbiacasa.com.br/import-image/BEA10.jpg
BEA11,"Perfume San Junipero","Perfume, Perfume Autoral, Perfumaria, Perfumaria Brasileira","BEA10,BEA12,BEA13,BEA24,BEA25","São duas as matérias-primas incríveis desta fragrância magnética - bagas de zimbro e o cedro vermelho oriental, também conhecido como San Junipero. De tons suaves, a essência abre com notas picantes e finaliza com um leve bouquet floral. 

","Aqua, Propylene Glycol, Alcohol (organic), Parfum, Butylphenyl Methylpropional, Citral, Citronellol, Coumarin, Geraniol, Limonene, Linalool.
Este perfume possui componentes que podem alterar levemente sua cor, o que não compromete a qualidade do produto.",12,7,7,"Beauté,Corpo",4,"219,00","0,300",https://abbiacasa.com.br/import-image/BEA11.jpg
BEA12,"Perfume Figorativo","Perfume, Perfume Autoral, Perfumaria, Perfumaria Brasileira","BEA10,BEA11,BEA13,BEA24,BEA25","O perfume de uma figueira no sul da França foi referência para a criação dessa eau de parfum.
Notas de limão, jasmim, bergamota, cassis e outros elementos amadeirados fazem dela um hit absoluto.

","Aqua, Propylene Glycol, Alcohol (organic) Perfum, Citral, Citronellol, Geraniol, Limonene, Linalool, Água, Propileno Glicol, Álcool, (orgânico) Fragrância, Citral, Citronelol, Geraniol, Limoneno, Linalol.
Este perfume possui componentes que podem alterar levemente sua cor, o que não compromete a qualidade do produto.",12,7,7,"Beauté,Corpo",4,"219,00","0,300",https://abbiacasa.com.br/import-image/BEA12.jpg
BEA13,"Perfume Mood Indigo","Perfume, Perfume Autoral, Perfumaria, Perfumaria Brasileira","BEA10,BEA11,BEA12,BEA24,BEA25","Inspirada na eterna diva Nina Simone, essa eau de parfum representa a artista e ativista com um mix elaborado de notas de couro, melão verde, pimenta rosa, anis estrelado e hortelã. Um perfume profundo, cheio de ritmo e muita alma.

","Aqua, Propylene Glycol, Alcohol (organic), Parfum, Butylphenyl Methylpropional, Citral,
Citronellol, Coumarin, Geraniol, Limonene, Linalool.
Este perfume possui componentes que podem alterar levemente sua cor, o que não compromete a qualidade do produto.",12,7,7,"Beauté,Corpo",4,"219,00","0,300",https://abbiacasa.com.br/import-image/BEA13.jpg
BEA14,"Creme para Mãos e Corpo Lumière","Creme, Creme Hidratante, Creme Hidratante para as Mãos, Creme Hidratante para o Corpo, Produto Livre de Crueladade Animal","CAS01,CAS02,CAS03,BEA24,BEA25,","Com um toque floral cítrico e amadeirado, o nome já diz tudo: um perfume iluminado e super rico dá vida a este creme. Leva notas de mandarina italiana, pêra, nêspera, Ylang-Ylang e magnólia.

","Aqua, Carbomer, Glycerin, Propylene Glycol, Ceteraryl Alcohol, Cetyl Alcohol, Ceterareth-20, Isopropyl Myristate, Butyrospermum Parkii Butter, Aminomethyl Propanol, Triclosan, Dimethicone, Phenoxyethanol, Disodium EDTA, Parfum, Butylphenyl Methylpropional, Benzyl Benzoate, Citronellol, Hexyl Cinnamal, Limonene, Linalool.",18,7,7,"Beauté,Corpo",3,"152,00","0,585",https://abbiacasa.com.br/import-image/BEA14.jpg
BEA15,"Saboneteira Natural de Bambu (pequena)","Saboneteira, Saboneteira em Bambu, Saboneteira Natural de Bambu, Suporte para Sabonete, Produto Livre de Crueladade Animal","BEA16,BA20,BEA21,BEA22,BEA26","Feita em bambu e impermeabilizada com cera de carnaúba, mantém a barra de sabão natural longe da água, aumentando a durabilidade. ","Saboneteira produzida em bambu impermeabilizado com cera de carnaúba.",2,9,8,"Beauté,Acessórios",5,"31,50",13,https://abbiacasa.com.br/import-image/BEA15.jpg
BEA16,"Saboneteira Natural de Bambu (grande)","Saboneteira, Saboneteira em Bambu, Saboneteira Natural de Bambu, Suporte para Sabonete, Produto Livre de Crueladade Animal","BEA15,BEA20,BEA21,BEA22,BEA26","Feita em bambu e impermeabilizada com cera de carnaúba, mantém a barra de sabão natural longe da água, aumentando a durabilidade. ","Saboneteira produzida em bambu impermeabilizado com cera de carnaúba.",14,9,2,"Beauté,Acessórios",1,"52,00",30,https://abbiacasa.com.br/import-image/BEA16.jpg
BEA17,"Água Funcional","Hidratante pós sol, Tônico para o Rosto, Tônico Natural para o Rosto, Tônico Calmante, Tônico Calmante para o Rosto, Produto Livre de Crueladade Animal",",BEA05,BEA06,BEA07,BEA18,BEA27","Feita com base de Hidrolatos Orgânicos de Alpinia e Capim Limão, ajuda no equilíbrio do humor e fortalece a autoestima. É uma maravilha para tranquilizar o sistema nervoso central, ou seja: alivia o estresse, a ansiedade e melhora a qualidade do sono.
É também um hidratante pós-sol, e mantém a pele fresquinha e tonificada.

","Alpinia e capim limão
100% natural",12,4,4,"Beauté,Rosto e Corpo",5,"58,50","0,300",https://abbiacasa.com.br/import-image/BEA17.jpg
BEA18,"Tônico de Alecrim Orgânico","Tônico, Tõnico antioxidante, Tônico antioxidante para o Rosto, Tônico para corpo, Tônico de Alecrim, ProdutoLivre de Crueladade Animal",",BEA05,BEA06,BEA07,BEA17,BEA27","Para quem prefere aromas marcantes, este tônico tem poderes incríveis. Além de ser antioxidante, ajuda a combater a queda de cabelos e mantê-los sempre lindos.
É também um grande aliado para o fortalecimento do sistema respiratório e revitalizar não só sua pele, mas suas energias essenciais.
","O Tônico de alecrim é feito com o  hidrolato de alecrim.",12,4,4,"Beauté,Rosto e Corpo",6,"44,85","0,300",https://abbiacasa.com.br/import-image/BEA18.jpg
BEA19,"Açúcar de Banho Lavanda e Camomila","Açucar de Banho, Esfoliante, Esfoliante de Lavanda e Camomila, Esfoliante para o Rosto, Esfoliante para o Corpo, Produto Livre de Crueladade Animal","BEA01,BEA06,BEA08,BEA09,BEA28","Este esfoliante deve ser usado depois do banho, como um finalizador hidratante.
Basta uma pequena porção para a pele receber os benefícios do coco, dos ativos da camomila orgânica e dos óleos essenciais.
Excelente pedida no final do dia para relaxar, revigorar o corpo e a paz de espírito.
É 100 % natural e vegano.


","Açúcar cristal orgânico, óleo de coco orgânico, flores de camomila orgânicas, Melaleuca alternifolia Leaf Oil, Lavandula Officinalis Flower Oil.
Cuidado ao manusear, embalagem de vidro.",9,6,6,"Beauté,Rosto, Corpo e Cabelo",4,"56,62","0,300",https://abbiacasa.com.br/import-image/BEA19.jpg
BEA20,"Barra Citrus Cúrcuma","Sabonete, Sabonete em Barra, Sabonete Citrus, Sabonete Cúrcuma, Produto Natural, Produto Livre de Crueladade Animal","BEA15,BEA16,BEA21,BEA22,BEA26","Aposte nesta barra por mais momentos radiantes e felizes nesta vida! Ela tem poderes antioxidantes e leva o óleo essencial de Palmarosa, que ajuda na autoestima, além de ser cicatrizante e um belo hidratante. E, para completar...óleos de laranja doce e tangerina para dar um boost no bem-estar e a cúrcuma, que limpa e desintoxica a pele.
","Elaeis Guineenses Butter, Aqua, Elaeis Guineensis, Kernel Oil, Olea Europaea Fruit Oil, Helianthus Annus (Sunflower) Seed Oil ,Theobroma Grandiflorum Seed Butter, Sodium Hydroxide, Citrus Aurantium Dulcis Peel Oil, Cymbopogon martini Oil, Citrus Reticulata Peel Oil, Rosmarinus Officinalis Leaf Extract, Curcuma Longa Root Power.

 ",3,7,6,"Beauté,Rosto, Mãos e Corpo",4,"31,20","0,300",https://abbiacasa.com.br/import-image/BEA20.jpg
BEA21,"Barra Solar Urucum","Sabonete, Sabonete em Barra, Sabonete de Urucum,  Produto Natural, Produto Livre de Crueladade Animal","BEA15,BEA16,BEA20,BEA22,BEA26","O alecrim é um poderoso antisséptico, tônico natural e, segundo a aromaterapia, fortalece o sistema circulatório, porque ajuda a transportar nutrientes e retirar toxinas da pele, vigor puro!  É um potente regenerador e calmante, e dá aquela forcinha para reequilibrar emoções, o corpo e a mente. Seu dia com wonderful vibes! 

","Elaeis Guineenses Butter, Aqua, Elaeis Guineensis, Kernel Oil, Helianthus Annus (Sunflower) Seed Oil , Sodium Hydroxide, Theobroma Grandiflorum Seed Butter, Cinnamomum Camphora Linalooliferum Wood Oil, Citrus aurantium dulcis Peel Oil, Rosmarinus Officinalis Leaf Oil, Rosmarinus Officinalis Leaf Extract, Bixa Orellana Seed Extract.",3,7,6,"Beauté,Rosto, Mãos e Corpo",4,"31,20","0,300",https://abbiacasa.com.br/import-image/BEA21.jpg
BEA22,"Barra Carvão Ativado Vegetal","Sabonete, Sabonte em Barra, Sabonete de Carvão Ativado, Produto Natural, Produto Livre de Crueladade Animal","BEA15,BEA16,BEA20,BEA21,BEA26","O Carvão Ativado é usado há milênios por suas funções desintoxicantes, não à toa: sua superfície porosa absorve as toxinas e o excesso de oleosidade, possui propriedades cicatrizantes, bactericidas e microesfoliantes.
A sinergia de óleos essências de Capim Cidreira, cedro e Ho Wood promove calma, limpeza energética do corpo, mente e espírito, um bem mais que necessário! 
","Elaeis Guineenses Butter, Aqua, Elaeis Guineensis, Kernel Oil, Olea Europaea Fruit Oil, Theobroma Grandiflorum Seed Butter, Sodium Hydroxide, Cinnamomum Camphora Linalooliferum Wood Oil, Cymbopogon Flexuosus Oil, Cedrus Atlantica Oil, Rosmarinus Officinalis Leaf Extract, Charcoal Powder.

 ",3,7,6,"Beauté,Rosto, Mãos e Corpo",4,"31,20","0,300",https://abbiacasa.com.br/import-image/BEA22.jpg
